Strain (in/in)	Stress (psi)
0.021272657	3311.138213
0.021292284	3274.878649
0.021334677	3378.111765
0.021340172	3316.683795
0.02138021	3340.999032
0.021379425	3331.614203
0.021414753	3304.739468
0.02145322	3382.377595
0.021483052	3314.124294
0.021495613	3381.097846
0.021517595	3313.271128
0.021583539	3347.824363
0.021622793	3387.496594
0.02166754	3343.131947
0.021689522	3376.832013
0.021746046	3357.635775
0.021804925	3448.497978
0.021835542	3381.524429
0.021875581	3403.706751
0.021896777	3372.566183
0.021955656	3372.992766
0.021973712	3419.916911
0.02200119	3395.601671
0.022030236	3416.930827
0.022053003	3369.580102
0.022082835	3392.189007
0.022109527	3435.700485
0.022147995	3390.909258
0.022162126	3408.399167
0.022192743	3365.740852
0.022233566	3427.595405
0.022261828	3396.454837
0.022297155	3405.413083
0.022305791	3409.678916
0.022376446	3394.748505
0.022393717	3480.918296
0.022398428	3408.399167
0.022416484	3450.204313
0.02243611	3424.182741
0.022453382	3461.722057
0.022475363	3445.93848
0.02249813	3449.777728
0.022508335	3447.218229
0.022550728	3461.722057
0.022586841	3483.904379
0.022594692	3461.295474
0.022612748	3520.590527
0.022626094	3454.896726
0.022673197	3505.233536
0.022688899	3544.905767
0.02271088	3475.7993
0.022726581	3544.905767
0.022743067	3476.225883
0.02278703	3544.052601
0.022796451	3525.282943
0.022827068	3523.150028
0.022856115	3547.465265
0.022934621	3524.429777
0.022982509	3624.676809
0.02299664	3544.052601
0.023014697	3544.905767
0.023030398	3544.905767
0.023074361	3555.143762
0.023088492	3623.39706
0.023082997	3571.780502
0.023105763	3560.262758
0.023123034	3539.360185
0.023152866	3570.927336
0.023159932	3632.781889
0.02319369	3554.717179
0.02320311	3571.780502
0.023261989	3607.186903
0.023277691	3638.327471
0.023316158	3581.591914
0.02334128	3630.648974
0.023362476	3623.823643
0.023383673	3688.237694
0.023390738	3651.551547
0.023411935	3612.305899
0.023430776	3636.194553
0.023468459	3677.999699
0.023492796	3713.4061
0.023517132	3660.08321
0.023540684	3685.678196
0.023576797	3655.817377
0.023657657	3702.741522
0.023707116	3711.273185
0.023743228	3685.251613
0.02376364	3707.433935
0.023820164	3712.979517
0.023863342	3793.603729
0.023868052	3701.888356
0.023890819	3688.237694
0.023925362	3709.993434
0.023954408	3717.245347
0.023969324	3727.05676
0.023978745	3684.398447
0.023994446	3675.013618
0.024027419	3691.650361
0.024062746	3714.685849
0.024087868	3753.504915
0.024088653	3682.265532
0.024112205	3741.98717
0.024143607	3736.868172
0.024162448	3745.399835
0.024171869	3771.847987
0.02418443	3710.420019
0.024196991	3783.792317
0.024223683	3770.994821
0.024242524	3765.875825
0.024265291	3760.756826
0.024277852	3763.74291
0.024299833	3764.169493
0.024328095	3821.33163
0.024369703	3847.353202
0.0243909	3798.296142
0.024434863	3841.381037
0.024470191	3822.184796
0.024511799	3895.13051
0.024556546	3839.674705
0.024579313	3869.962107
0.024616996	3858.444363
0.02467352	3881.906434
0.024697857	3888.731765
0.024704137	3857.591197
0.024729259	3852.472198
0.024798344	3872.521605
0.024866644	3888.305182
0.024873709	3855.884865
0.024899616	3852.898781
0.024920027	3872.521605
0.024924738	3881.053268
0.024946719	3899.396343
0.024945934	3879.773519
0.024971056	3857.164614
0.025003243	3878.920353
0.025028365	3919.019167
0.025055842	3915.179917
0.025056627	3861.003861
0.025077039	3881.479851
0.025152404	3908.354589
0.025194012	3944.614153
0.025204217	3966.369892
0.02523405	3902.809007
0.025276443	3972.76864
0.025299995	3959.544562
0.025288218	3969.782557
0.025306275	3984.712967
0.025306275	3919.019167
0.025281153	3959.117978
0.025320406	3980.020552
0.025359659	3976.181304
0.025358874	3976.607887
0.025391061	3909.634338
0.025469567	3983.006635
0.025587325	4019.2662
0.025625793	4022.678867
0.025637569	3991.964881
0.025643849	4011.587703
0.025661905	4031.210527
0.025674466	4057.232099
0.025702728	4032.490276
0.025700373	4018.413034
0.025697233	3967.649641
0.025717644	4012.440871
0.025738056	4030.783944
0.025748261	3969.355974
0.025758467	3973.195223
0.025785944	4005.188958
0.025813421	4050.833351
0.025833047	4067.896677
0.025848749	4043.58144
0.025884076	4016.706702
0.025902917	4096.90433
0.025938245	4102.876492
0.025962582	4122.925899
0.025982208	4073.442256
0.026004975	4060.21818
0.026032452	4119.086652
0.026100752	4116.527154
0.026132939	4140.415808
0.026152565	4072.58909
0.026192603	4121.219567
0.026225576	4160.891798
0.026244417	4134.870226
0.026254622	4183.500703
0.026271894	4101.596743
0.026310362	4164.304462
0.026316642	4188.193116
0.026333913	4140.842391
0.026340194	4161.744964
0.026357465	4104.582824
0.026396717	4184.780452
0.026417914	4187.766533
0.026441466	4148.520888
0.026448531	4120.792984
0.026477579	4212.508356
0.026519972	4200.990612
0.026562365	4192.458949
0.02656629	4190.326034
0.026617318	4159.185466
0.026691113	4253.886919
0.026732721	4234.264095
0.026769619	4260.712248
0.0267759	4222.746351
0.026825358	4238.529926
0.026852835	4270.52366
0.026874817	4251.327421
0.026891303	4226.585598
0.026892088	4203.55011
0.026924275	4170.276627
0.026959603	4259.005916
0.026972164	4232.557763
0.026985509	4224.452683
0.027001996	4186.486784
0.027057735	4236.823593
0.027115044	4250.900836
0.02712996	4240.236258
0.027137025	4237.250177
0.027154297	4190.752617
0.027182559	4299.531313
0.027186484	4271.803409
0.027236727	4291.852816
0.027249289	4257.726167
0.027256354	4256.019835
0.027313663	4347.308624
0.027334075	4310.195891
0.027374112	4317.874388
0.027390599	4259.005916
0.027449478	4354.560535
0.027473814	4351.147871
0.027492656	4299.957896
0.02748873	4296.118649
0.027535049	4297.398398
0.027559386	4375.036525
0.027569591	4368.63778
0.027581367	4312.755389
0.027586863	4308.489559
0.027641031	4360.106117
0.027674003	4377.169443
0.027676359	4345.602292
0.027697555	4371.623861
0.027715611	4303.370563
0.027776846	4406.603676
0.027804323	4417.268254
0.027817669	4354.133952
0.0278318	4394.232766
0.027852211	4330.245298
0.027888324	4462.059484
0.027918941	4411.722675
